ementa,situacao,indexacao,ano,ultimo_despacho,numero,autor,regime_tramitacao,id_proposicao_principal,id,explicacao_ementa,apreciacao,ultimo_despacho_data,tipo,nome,nome_proposicao_origem,data_apresentacao,tema,link_inteiro_teor
"Escolhe o nome do Senhor José Jorge de Vasconcelos Lima para o cargo de Ministro do Tribunal de Contas da União, nos termos do art. 73, § 2º, inciso II, da Constituição Federal.",Tranformada no(a) Decreto Legislativo 345/2008,"Escolha, indicação, nome, Deputado Federal, preenchimento, vaga, cargo, Ministro, (TCU).",2008,Publique-se. Submeta-se ao Plenário.,1345,Senado Federal - Líderes Partidários,Urgência art. 155 RICD,,421019,,Proposição Sujeita à Apreciação do Plenário,2008-12-16 00:00:00,Projeto de Decreto Legislativo,PDC 1345/2008,PDC 1345/2008,2008-12-16 00:00:00,Administração Pública; Organização Político-Administrativa do Estado (utilizado até a legislatura 53),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=626467
"Declara feriado, no Município de Belo Horizonte, Estado de Minas Gerais, os dias 12 de dezembro de 1996 e 12 de dezembro de 1997, para comemoração do centenário daquela cidade.",Tranformada no(a) Lei Ordinária 9335/1996,"DECLARAÇÃO, FERIADOS, MUNICIPIO, BELO HORIZONTE, (MG), COMEMORAÇÃO,
HOMENAGEM, CENTENARIO, CAPITAL DE ESTADO.",1996,DESPACHO AO SENADO FEDERAL.  PL.2504-A/96. DCD 21 11 96 PAG 30579 COL 02.,2504,Nilmário Miranda,Ordinária,,25392,,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,1996-11-20 00:00:00,Projeto de Lei,PL 2504/1996,PL 2504/1996,1996-10-30 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=21619
Requer regime de urgência para apreciação de proposição.,PLEN - Aguardando Providências Internas,,2013,,7772,Andre Moura,Ordinária,553112,576895,,Requerimento,,Requerimento de Urgência (Art. 155 do RICD),REQ 7772/2013 => PLP 200/2012,REQ 7772/2013 => PLP 200/2012,2013-05-14 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1088707
Dispõe sobre o Sistema Nacional de Crédito Cooperativo.,Tranformada no(a) Lei Complementar 130/2009,"Regulamentação, Constituição Federal, Sistema Financeiro Nacional, composição, Sistema Nacional de Crédito Cooperativo, cooperativa singular, cooperativa central, confederação, cooperativa de crédito, banco de crédito cooperativo, incentivo, formação, poupança, assistência financeira, empréstimo, associado, critérios, participação, capital social, fiscalização, órgão regulador.",2004,"Às Comissões de 
Finanças e Tributação (Mérito) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD)",177,Senado Federal - Gerson Camata,Urgência art. 155 RICD,,253010,Regulamenta o artigo 192 da Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,2005-05-31 00:00:00,Projeto de Lei Complementar,PLP 177/2004,PLP 177/2004,2004-05-12 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=217496
"Dispõe sobre o tempo de direção do motorista de caminhões e ônibus trafegando em rodovias.  
NOVA EMENTA DO SUBSTITUTIVO DO SENADO: Acrescenta dispositivo à Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para limitar o tempo ininterrupto de direção do motorista de caminhão ou ônibus trafegando em rodovia.",CN - Aguardando Apreciacao do Veto,"Fixação, limitação, tempo, direção, motorista profissional, caminhoneiro, caminhão, ônibus, tráfego, rodovia, proibição, excesso, limite máximo, periodo, quantidade, hora, ausência, interrupção, descanso,  prazo, intervalo, utilização, equipamentos, tacógrafo, competência, órgão público, Sistema Nacional de Trânsito, controle, fiscalização, motorista, infração, penalidade, interceptação, multa de trânsito, apreensão, veículos, transporte de carga, passageiro, transporte rodoviário, liberação, posterioridade, atendimento, critérios.",1996,"Despacho à CVT, CTASP e CCJR (Artigo 54 do RI) 
(Despacho de Substitutivo).",2660,Poder Executivo,Prioridade,,18454,"Proíbe ao motorista de caminhão e ônibus dirigir, ininterruptamente, por mais de 04 (quatro) horas, devendo descansar pelo menos 1 (uma) hora de forma contínua ou de modo descontínuo, ao longo das 4 (quatro) horas dirigidas.",Proposição Sujeita à Apreciação do Plenário,2002-05-08 00:00:00,Projeto de Lei,PL 2660/1996,PL 2660/1996,1996-12-12 00:00:00,Trabalho e Emprego; Viação e Transportes,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=22022
"Institui normas gerais para licitação e contratação de parceria público-privada, no âmbito da Administração Pública.",Tranformada no(a) Lei Ordinária 11079/2004,"Normas gerais, licitação, contratação, parceria, Administração Pública, iniciativa privada, contrato, Poder Público, União Federal, Estados, (DF), Municípios, Administração Indireta, Fundo Especial, Autarquia, Fundação Pública, Empresa Pública, Sociedade de Economia Mista, Empresa Estatal, acordo, gestão, exploração, prestação de serviço, obra pública, atividade, interesse público, financiamento, responsabilidade, investimento, recursos financeiros, empresa privada, concessionária, permissionária, serviço público, contraprestação, remuneração, oferecimento, garantia, adicionais, obrigação, liberação, recursos orçamentários, pagamento, liquidação, empenho, instituição financeira, requisitos, edital, concorrência pública, julgamento, proposta, licitante, órgão gestor, Conselho Monetário Nacional, critérios, bancos, oferecimento, créditos, empresa, aplicação, lei federal, concessão, serviços públicos.",2003,"Leitura e publicação da Mensagem 284/04-CN.
                                    DCN 05.07.2005, pág. 3847, col. 01.",2546,Poder Executivo,Urgência art. 155 RICD,,144047,Autoriza a União a integralizar recursos em Fundo Fiduciário de Incentivo a contratos de Parcerias Público-Privada - PPP.,Proposição Sujeita à Apreciação do Plenário,2005-07-05 00:00:00,Projeto de Lei,PL 2546/2003,PL 2546/2003,2003-11-19 00:00:00,Administração Pública,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=182910
"Institui o Regime de Tributação Unificada - RTU na importação, por via terrestre, de mercadorias procedentes do Paraguai.",Tranformada no(a) Lei Ordinária 11898/2009,"Criação, Regime Tributário, unificação, tributação, impostos, contribuição social, simplificação, comércio, importação, mercadoria estrangeira, país estrangeiro, Paraguai, Executivo, fixação, limite máximo, valor, aquisição, relação, produto importado, proibição, arma, cigarro, bebidas, veículos, embarcação, medicamentos, pneu, adesão, contribuinte, sociedade empresária, empresário, brasileiros, microempresa, opção, (Simples Nacional), pagamento, alíquota única, Imposto de Importação, (IPI), (Cofins), (PIS - Pasep), (ICMS), controle aduaneiro, fronteira, habilitação, recinto alfandegado, despacho aduaneiro, Secretaria da Receita Federal do Brasil, obrigação tributária acessória, documento fiscal, critérios, declaração, mercadoria abandonada, penalidade, infrator,  aplicação, multa fiscal.",2007,"Às Comissões de 
Desenvolvimento Econômico, Indústria e Comércio; 
Finanças e Tributação (Mérito e Art. 54, RICD)
Constituição e Justiça e de Cidadania (Art. 54 RICD); Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência art. 64 CF",2105,Poder Executivo,Urgência art. 64 CF,,368924,"""Projeto do Sacoleiro"".",Proposição Sujeita à Apreciação do Plenário,2008-12-09 00:00:00,Projeto de Lei,PL 2105/2007,PL 2105/2007,2007-09-25 00:00:00,"Indústria, Comércio e Defesa do Consumidor (utilizado até a legislatura 53); Tributação",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=507099
Requer a realização de audiência pública para discutir medidas para a proibição legal da exigência de depósito prévio de garantia para atendimento de urgência ou emergência na rede privada de saúde no território nacional.,CDHM - Arquivada,,2012,,12,Erika Kokay,Ordinária,,536551,,Requerimento,,Requerimento,REQ 12/2012 CDHM,REQ 12/2012 CDHM,2012-03-08 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=968967
"Institui taxa de licenciamento, controle e fiscalização de materiais nucleares e radioativos e suas instalações.",Tranformada no(a) Lei Ordinária 9765/1998,"Criação, taxas, licenciamento, controle, fiscalização, instalações, material nuclear, material radioativo, fato gerador, exercício, poder de polícia, competência, (CNEN), atividade, pesquisa, mineral nuclear, urânio, tório, seleção, local, construção, instalação nuclear, produção, utilização, radioisótopos, atividade agrícola, atividade industrial, comercialização, minério nuclear, energia nuclear, posse, guarda, armazenamento, tratamento, recebimento, transporte, rejeitos radioativos, habilitação, manuseio, supervisão, fonte, radiação ionizante, definição, contribuinte, pessoa jurídica, pessoa física, habilitação, concessão, isenção, (IPD), área, elemento nuclear, programa de desenvolvimento, tecnologia, organização militar, hospital público, (SUS), orgão público, instituição assistencial, equipamentos, fixação, prazo, renovação, ato, valor, autorização, Executivo, atualização, revisão, recolhimento, recursos, arrecadação, destinação, segurança, instalação, apoio técnico, possibilidade, redução, percentual, usina nucleoelétrica, localização, usina, referência.",1997,LEITURA E PUBLICAÇÃO DA MATERIA. DCD 18 02 98 PAG 4621 COL 01.,3901,Poder Executivo,Urgência art. 155 RICD,,216971,Constitui como fato gerador da TLC  o exercício do poder de polícia legalmente atribuído a CNEN.,Proposição Sujeita à Apreciação do Plenário,1998-02-18 00:00:00,Projeto de Lei,PL 3901/1997,PL 3901/1997,1997-11-20 00:00:00,"Recursos Hídricos, Minerais e Política Energética",
"Abre, em favor da Presidência da República, dos Ministérios dos Transportes, da Cultura e do Planejamento, Orçamento e Gestão e de Encargos Financeiros da União, crédito extraordinário no valor global de R$ 393.323.000,00, para os fins que especifica.",MESA - Arquivada,"Crédito extraordinário, Presidência da República, Advocacia - Geral da União, representação judicial, ato extrajudicial, (MTR), (ANTT), (DNIT), (GEIPOT),  (RFFSA),  (MINC), (IPHAN), (MP), Encargos Financeiros da União.",2005,Publique-se. Submeta-se ao Plenário.,245,Poder Executivo,Urgência,,280978,,Proposição Sujeita à Apreciação do Plenário,2005-04-25 00:00:00,Medida Provisória,MPV 245/2005,MPV 245/2005,2005-04-07 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=293442
"Altera o art. 33 da Lei Complementar nº 87, de 13 de setembro de 1996, que dispõe sobre o imposto dos Estados e do Distrito Federal sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação, e dá outras providências, para prorrogar os prazos previstos em relação à apropriação dos créditos do ICMS.",Tranformada no(a) Lei Complementar 122/2006,"Alteração, Lei Kandir, prorrogação, prazo, apropriação, crédito tributário, (ICMS), entrada, estabelecimento, mercadoria, energia elétrica, comunicação, cobertura, prejuízo, desoneração tributária.",2006,"Às Comissões de 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD)
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Prioridade",380,Senado Federal - Rodolpho Tourinho,Urgência art. 155 RICD,,334677,Prorroga o prazo até 2011.,Proposição Sujeita à Apreciação do Plenário,2006-10-25 00:00:00,Projeto de Lei Complementar,PLP 380/2006,PLP 380/2006,2006-10-19 00:00:00,Tributação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=421559
"DISPÕE SOBRE O SIGILO DAS OPERAÇÕES DE INSTITUIÇÕES FINANCEIRAS E
DA OUTRAS PROVIDENCIAS.",Tranformada no(a) Lei Complementar 105/2001,"OBRIGATORIEDADE, INSTITUIÇÃO FINANCEIRA, BANCOS, SOCIEDADE CORRETORA, CAMBIO, VALOR MOBILIARIO, SOCIEDADE DE CREDITO IMOBILIARIO, FINANCIAMENTO, SOCIEDADE DE INVESTIMENTO, ADMINISTRADOR, CARTÃO DE CREDITO, ARRENDAMENTO MERCANTIL, MERCADO DE BALCÃO, COOPERATIVA DE CREDITO, ASSOCIAÇÃO DE POUPANÇA E EMPRESTIMO, BOLSA DE VALORES, BOLSA DE MERCADORIAS, BOLSA DE FUTURO, MANUTENÇÃO, SIGILO, OPERAÇÃO FINANCEIRA, INEXISTENCIA, QUEBRA DE SIGILO, FORNECIMENTO, INFORMAÇÕES, CADASTRO, EMITENTE, CHEQUE SEM-FUNDOS, DEVEDOR, INADIMPLENCIA, 
PROTEÇÃO, CREDITOS, NOTIFICAÇÃO, AUTORIDADE, ATO ILICITO, CONSENTIMENTO, INTERESSADO, ATENDIMENTO, SOLCITAÇÃO, JUDICIARIO, (CPI), CONGRESSO NACIONAL, TIPICIDADE, CRIME, OMISSÃO, ATRASO, DECLARAÇÃO FALSA, INFORMAÇÃO SIGILOSA, PENA DE RECLUSÃO.  
_ALTERAÇÃO, LEI DO COLARINHO BRANCO, CRIME CONTRA O SISTEMA FINANCEIRO  NACIONAL, PENA DE DETENÇÃO, MULTA, QUEBRA DE SIGILO, INFORMAÇÕES, OPERAÇÃO FINANCEIRA.",1998,DESPACHO AO SENADO FEDERAL.  PLP 220-B/98.,220,Senado Federal - Lúcio Alcântara,Urgência art. 155 RICD,,25762,"ALTERA Nº 7.492, DE 1986 E REVOGA DISPOSITIVO DA LEI Nº 4.595, DE 1964.",Proposição Sujeita à Apreciação do Plenário,2000-12-06 00:00:00,Projeto de Lei Complementar,PLP 220/1998,PLP 220/1998,1998-02-09 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=30610
"Altera dispositivos da Lei nº 10.420, de 10 de abril de 2002, que cria o Fundo Seguro-Safra e institui o benefício Seguro-Safra.",Tranformada no(a) Lei Ordinária 10700/2003,"Alteração, Lei do Seguro Safra, inclusão, beneficiário, agricultor, Região, Vale do Mucuri, redução, percentual, perda, safra, produto agrícola, mandioca, período, seca, prorrogação, prazo, agricultor familiar, adesão, inscrição, benefício, mês, abril.",2003,Publique-se. Submeta-se ao Plenário.,117,Poder Executivo,Urgência,,112202,"Incluindo como beneficiário do Fundo Seguro-Safra os agricultores do Vale do Mucuri; estabelecendo que a taxa SELIC é a remuneração mínima do Fundo; reduzindo para 50% (cinquenta por cento) a perda de safra, por estiagem, de produto agrícola, incluindo a mandioca e prorrogando, até 30 de abril de 2003, o prazo de adesão para o ano agrícola de 2002 / 2003.",Proposição Sujeita à Apreciação do Plenário,2003-04-24 00:00:00,Medida Provisória,MPV 117/2003,MPV 117/2003,2003-04-22 00:00:00,Política Fundiária,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=128071
DISPÕE SOBRE O CONTRATO DE TRABALHO POR PRAZO DETERMINADO E DA OUTRAS PROVIDENCIAS.,Tranformada no(a) Lei Ordinária 9601/1998,"AUTORIZAÇÃO, CONVENÇÃO, ACORDO COLETIVO DE TRABALHO, CRIAÇÃO, CONTRATO DE TRABALHO, PRAZO DETERMINADO, NORMAS, (CLT), ATIVIDADE, EMPRESA, ADMISSÃO, REPRESENTAÇÃO, ACRESCIMO, NUMERO, EMPREGADO, ESTABELECIMENTO, FIXAÇÃO, INDENIZAÇÃO, HIPOTESE, ANTECIPAÇÃO, RESCISÃO, NATUREZA CONTRATUAL, INICIATIVA, EMPREGADOR, TRABALHADOR, INAPLICABILIDADE, LEGISLAÇÃO TRABALHISTA, REDUÇÃO, CONTRIBUIÇÃO SOCIAL, (SESI), (SESC), (SENAI), (SENAC), (SENAT), (SEST), (SEBRAE), (INCRA),SERVIÇO SOCIAL DO TRANSPORTE, EDUCAÇÃO, FINANCIAMENTO, SEGUROS, ACIDENTE DO TRABALHO, PRAZO, ALIQUOTA, (FGTS), DEPOSITO, VALOR, BANCOS, CRITERIOS, PERIODO, SAQUE, RETIRADA, FUNDOS DE GARANTIA, LIMITAÇÃO, QUANTIDADE, PERCENTAGEM, TRABALHO TEMPORARIO, SERVIÇO TEMPORARIO, QUADRO DE PESSOAL, VALIDAÇÃO, DIMINUIÇÃO, CONTRIBUIÇÃO, HIPOTESE, REGISTRO, CONTRATO, SINDICATO, CONTINUAÇÃO, PERIODO, MANUTENÇÃO, FOLHA DE PAGAMENTO, SUPERIORIDADE, MES, DIREITO DE PREFERENCIA, OBTENÇÃO, RECURSOS FINANCEIROS, EMPRESTIMO, AMBITO, PROGRAMA, BANCO OFICIAL, (BNDES). ALTERAÇÃO, LEGISLAÇÃO TRABALHISTA, (CLT). ALTERAÇÃO, DURAÇÃO, HORARIO DE TRABALHO, JORNADA DE TRABALHO, ACRESCIMO, HORA EXTRA, TURNO SUPLEMENTAR, LIMITAÇÃO, TRABALHO EXTRAORDINARIO, CRITERIOS, CONVENÇÃO, ACORDO COLETIVO DE TRABALHO, TRABALHADOR, POSSIBILIDADE, SUPERIORIDADE, EXIGENCIA, COMPENSAÇÃO.",1996,LEITURA E PUBLICAÇÃO DA MATERIA. DCD 24 04 96 PAG 10931 COL 01.,1724,Poder Executivo,Ordinária,,195466,,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,1996-04-12 00:00:00,Projeto de Lei,PL 1724/1996,PL 1724/1996,1996-03-29 00:00:00,,
"Dispõe sobre o salário mínimo a partir de 1º de abril de 2003, e dá outras providências.",Tranformada no(a) Lei Ordinária 10699/2003,"Fixação, reajuste, aumento, salário mínimo, mês, abril.",2003,Publique-se. Submeta-se ao Plenário.,116,Poder Executivo,Urgência,,112201,"Fixando em R$ 240,00 (duzentos e quarenta reais).",Proposição Sujeita à Apreciação do Plenário,2003-04-24 00:00:00,Medida Provisória,MPV 116/2003,MPV 116/2003,2003-04-22 00:00:00,Trabalho e Emprego,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=127817
"Altera a Lei nº 8.112, de 11 de dezembro de 1990, que dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais, a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, a Lei nº 10.233, de 5 de junho de 2001, que dispõe sobre a reestruturação dos transportes aquaviário e terrestre, cria o Conselho Nacional de Integração de Políticas de Transporte, a Agência Nacional de Transportes Terrestres, a Agência Nacional de Transportes Aquaviários e o Departamento Nacional de Infra-Estrutura de Transportes, a Lei nº  11.171, de 2 de setembro de 2005, que dispõe sobre a criação de carreiras e do Plano Especial de Cargos do Departamento Nacional de Infra-Estrutura de Transportes - DNIT, a Lei nº 11.233, de 22 de dezembro de 2005, que institui o Plano Especial de Cargos da Cultura e a Gratificação Específica de Atividade Cultural - GEAC, cria e extingue cargos em comissão no âmbito do Poder Executivo, dispõe sobre servidores da extinta Legião Brasileira de Assistência, sobre a cessão de servidores para o DNIT e sobre controvérsia concernente à remuneração de servidores do Departamento Nacional de Obras Contra as Secas - DNOCS, altera a Lei nº  9.636, de 15 de maio de 1998, que dispõe sobre a regularização, administração, aforamento e alienação de bens imóveis de domínio da União, e o Decreto-Lei nº 9.760, de 5 de setembro de 1946, que dispõe sobre os bens imóveis da União, autoriza prorrogação de contratos temporários em atividades que serão assumidas pela Agência Nacional de Aviação Civil - ANAC, e revoga o art. 4º da Medida Provisória nº 280, de 15 de fevereiro de 2006, que altera a Legislação Tributária Federal.
NOVA EMENTA DA REDAÇÃO FINAL: Altera a Lei nº 8.112, de 11 de dezembro de 1990, que dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais, a Lei nº 10.233, de 5 de junho de 2001, que dispõe sobre a reestruturação dos transportes aquaviário e terrestre, cria o Conselho Nacional de Integração de Políticas de Transporte, a Agência Nacional de Transportes Terrestres, a Agência Nacional de Transportes Aquaviários e o Departamento Nacional de Infra-Estrutura de Transportes, a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, a Lei nº 11.171, de 2 de setembro de 2005, que dispõe sobre a criação de carreiras e do Plano Especial de Cargos do Departamento Nacional de Infra-Estrutura de Transportes - DNIT, a Lei nº 11.233, de 22 de dezembro de 2005, que institui o Plano Especial de Cargos da Cultura e a Gratificação Específica de Aitividade Cultural - GEAC, cria e extingue cargos em comissão no âmbito do Poder Executivo, dispõe sobre servidores da extinta Legião Brasileira de Assistência, sobre a cessão de servidores para o DNIT e sobre controvérsia concernente à remuneração de servidores do Departamento Nacional de Obras Contra as Secas - DNOCS, a Lei nº 9.636, de 15 de maio de 1998, que dispõe sobre a regularização, administração, aforamento e alienação de bens imóveis de domínio da União, o Decreto-Lei nº 9.760, de 5 de setembro de 1946, que dispõe sobre os bens imóveis da União, a Lei nº 11.182, de 27 de setembro de 2005, a Lei nº 11.046, de 27 de dezembro de 2004; e a Lei nº 5.917, de 10 de setembro de 1973; e a Lei nº 8.630, de 25 de fevereiro de 1993; e revoga dispositivos da Medida Provisória nº 2.228-1, de 6 de setembro de 2001; da Lei nº 10.871, de 20 de maio de 2004; e da Medida Provisória nº 280, de 15 de fevereiro de 2006; e autoriza prorrogação de contratos temporários em atividades que serão assumidas pela Agência Nacional de Aviação Civil - ANAC.",Tranformada no(a) Lei Ordinária 11314/2006,"Alteração, Regime Jurídico Único, criação, Gratificação por Encargo de Curso ou Concurso, instrutor, curso de formação, treinamento, membros, banca examinadora, comissão, avaliação, fiscalização, concurso público.  
_ Alteração, ampliação, competência, (DNIT), atuação, transporte ferroviário, Sistema Federal de Viação, inclusão, Diretoria-Executiva, Diretoria de Infra-Estrutura Ferroviária, Diretoria de Infra-Estrutura Rodoviária, transformação, Diretoria de Transportes Terrestres, aumento, cargo em comissão, (DAS), autorização, solicitação, empregado, (GEIPOT), Companhia Docas.  
_ Alteração, Lei Nova Organização Administrativa da Presidência da República e Ministérios,  divisão, Subsecretaria-Geral Política, criação, Subsecretaria-Geral da Cooperação e das Comunidades Brasileiras no Exterior, equiparação, Instituto Rio Branco, Subsecretaria,  Ministério das Relações Exteriores, cargo em comissão, (DAS).  
_ Fixação, prazo, restituição, Função Comissionada Técnica, remanejamento, (DNIT), Ministério da Cultura.  
_ Criação, cargo em comissão, (DAS), Ministério dos Esportes, Secretaria-Executiva, Comitê, Jogos Pan-Americanos, Gabinete, Segurança Institucional, (INCRA), Ministério da Ciência e Tecnologia, Instituto Nacional do Semi-Árido, (INMETRO).  
_ Restabelecimento, pagamento, complementação, salário, diferença, remuneração, vantagem pessoal, servidor público civil, (DNOCS).  
_ Ampliação, prazo, arrendamento, cessão, locação, bens imóveis, patrimônio da União.  
_ Prorrogação, prazo, contrato temporário, Comando, Aeronáutica, (ANAC), lotação, (INSS), servidor, (LBA).  
_ Revogação, dispositivos,  concessão, trabalhador, valor, vale-transporte, dinheiro.",2006,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",283,Poder Executivo,Urgência,,316249,,Proposição Sujeita à Apreciação do Plenário,2006-06-07 00:00:00,Medida Provisória,MPV 283/2006,MPV 283/2006,2006-02-24 00:00:00,Organização Político-Administrativa do Estado (utilizado até a legislatura 53); Administração Pública; Trabalho e Emprego,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=380652
"Dispõe sobre Áreas de Preservação Permanente, Reserva Legal, exploração florestal e dá outras providências.

NOVA EMENTA: Dispõe sobre a proteção da vegetação nativa; altera as Leis nºs 6.938, de 31 de agosto de 1981, 9.393, de 19 de dezembro de 1996, e 11.428, de 22 de dezembro de 2006; revoga as Leis nºs 4.771, de 15 de setembro de 1965, e 7.754, de 14 de abril de 1989, e a Medida Provisória nº 2.166-67, de 24 de agosto de 2001; e dá outras providências.",Tranformada no(a) Lei Ordinária 12651/2012,"Definição, área de preservação permanente, floresta, fixação, limite geografico, transferência, competencia, (Conama), plano diretor, zona urbana, reserva legal, exploração, area florestal, autorização, (Ibama), alteração, utilidade publica, interesse social, estudo de impacto ambiental, dispensa, licença, atividade agricola, subsistencia, obrigatoriedade, proprietario, reflorestamento, imovel rural, reserva florestal, extração, criterio seletivo, madeira, produto vegetal, proporcionalidade, Amazonia, exigencia, averbação, matricula, bens imoveis, proibição, exploração, especie, extinção, pessoa fisica, pessoa juridica, industria extrativa, comercio, produto florestal, registro, cadastro, restrição, queimada, transporte, recursos florestais.   
_ Alteração, Lei dos Crimes Ambientais, pena de detenção, multa, destruição, danos, corte, vegetação, area de  preservação permanente, reserva florestal, reserva legal, ausencia, reposição, floresta.  
_Revogação, Código Florestal.",1999,"(SUBSTITUTIVO DO SENADO)
À Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1876, de 1999, do Sr. Sérgio Carvalho, que ""dispõe sobre Áreas de Preservação Permanente, Reserva Legal, exploração florestal e dá outras providências"" (revoga a Lei n. 4.771, de 1965 - Código Florestal; altera a Lei nº 9.605, de 1998).
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência art. 155 RICD",1876,Sérgio Carvalho,Urgência art. 155 RICD,,17338,"Revoga a Lei nº 4.771, de 1965 (Código Florestal); altera a Lei nº 9.605, de 1998.  
PL chamado de novo Código Florestal.",Proposição Sujeita à Apreciação do Plenário,2011-12-13 00:00:00,Projeto de Lei,PL 1876/1999,PL 1876/1999,1999-10-19 00:00:00,Meio Ambiente e Desenvolvimento Sustentável,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15847
"Acresce e dá nova redação a dispositivos das Leis nºs 9.478, de 6 de agosto de 1997, e 9.847, de 26 de outubro de 1999, que dispõem sobre a política e a fiscalização das atividades relativas ao abastecimento nacional de combustíveis; altera o § 1º do art. 9º da Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores; dá nova redação aos arts. 1º, 2º e 3º do Decreto-Lei nº 509, de 20 de março de 1969, que dispõe sobre a transformação do Departamento dos Correios e Telégrafos em empresa pública; altera a Lei nº 10.683, de 28 de maio de 2003, que dispõe sobre a Organização da Presidência da República e dos Ministérios, e dá outras providências.",Tranformada no(a) Lei Ordinária 12490/2011,"Alteração, Lei do Petróleo, Lei do Abastecimento Nacional de Combustíveis, política nacional, fiscalização, uniformização, tratamento, biocombustível, atribuição, Conselho Nacional de Política Energética (CNPE), diretrizes, importação, exportação, competência, Agência Nacional do Petróleo, Gás Natural e Biocombustíves (ANP), regulamentação, indústria de biocombustíveis, transporte, avaliação, certificação, qualidade.  
_Alteração, redução, percentual mínimo, álcool etílico anidro combustível, adição, gasolina.  
_Alteração, decreto-lei, Empresa Brasileira de Correios e Telegráfos (ECT), sede, foro, Brasília (DF), atuação,  exterior, autorização, composição, empresa subsidiária, aquisição, controle acionário, participação acionária, sociedade empresária, exploração, serviço, logística, serviços postais, parceria comercial, estrutura organizacional, assembléia geral, conselho de administração, diretoria executiva, conselho fiscal.  
- Alteração, Lei da Nova Organização da Presidência da República e Ministérios, Ministério do Planejamento, Orçamento e Gestão, criação, Assessoria Extraordinária para a Gestão e o Acompanhamento do Programa de Aceleração do Crescimento.",2011,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",532,Poder Executivo,Urgência,,500056,,Proposição Sujeita à Apreciação do Plenário,2011-05-18 00:00:00,Medida Provisória,MPV 532/2011,MPV 532/2011,2011-04-29 00:00:00,"Comunicações; Organização Administrativa do Estado; Recursos Hídricos, Minerais e Política Energética",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=865997
